Name,Class,Type/Variety,Sun Need,Water Every,Water Amount,Care Notes
Coral bells,green plant,Heuchera,part shade,1 week,Moderate soak,"Good foliage plant; avoid burying crown."
Coleus,green plant,Coleus,part shade,3 days,Moderate soak,"Pinch flowers to keep foliage full; good in containers."
Caladium,green plant,Caladium,shade,3 days,Moderate soak,"Warm-season foliage plant; protect from cold."
Ornamental grass,green plant,Fountain grass,full sun,1 week,Deep soak,"Cut back in late winter or early spring."
Liriope,green plant,Liriope,part shade,1 week,Moderate soak,"Tough border plant; trim old foliage in early spring."
Creeping Jenny,green plant,Creeping Jenny,part sun,3 days,Moderate soak,"Spreads quickly; good spiller in containers."
English ivy,green plant,Ivy,part shade,2 weeks,Moderate soak,"Can become invasive outdoors; monitor spread."
Virginia creeper,green plant,Virginia creeper,part shade,2 weeks,Moderate soak,"Native vine; vigorous grower; good wildlife value but can spread."
Boxwood,tree/shrub,Boxwood,part sun,1 week,Deep soak,"Mulch; avoid wet foliage; prune lightly."
Holly,tree/shrub,Holly,part sun,1 week,Deep soak,"Water during establishment; berries usually require male/female plants."
Arborvitae,tree/shrub,Arborvitae,full sun,1 week,Deep soak,"Water deeply during establishment; protect from deer browsing."
Juniper,tree/shrub,Juniper,full sun,2 weeks,Deep soak,"Drought tolerant once established; avoid soggy soil."
Crepe myrtle,tree/shrub,Crepe myrtle,full sun,1 week,Deep soak,"Prune lightly; avoid topping; blooms on new growth."
Dogwood,tree/shrub,Dogwood,part shade,1 week,Deep soak,"Mulch; avoid drought stress; protect trunk from damage."
Japanese maple,tree/shrub,Japanese maple,part shade,1 week,Deep soak,"Protect from harsh afternoon sun; mulch roots."
Redbud,tree/shrub,Redbud,part sun,1 week,Deep soak,"Spring flowering tree; water during establishment."
Serviceberry,tree/shrub,Serviceberry,part sun,1 week,Deep soak,"Spring flowers; edible berries; good wildlife plant."
Witch hazel,tree/shrub,Witch hazel,part shade,1 week,Deep soak,"Native shrub/tree; prune minimally."
Virginia sweetspire,tree/shrub,Virginia sweetspire,part shade,1 week,Deep soak,"Good native shrub; tolerates moist soil; prune after flowering if needed."
Inkberry holly,tree/shrub,Inkberry,part sun,1 week,Deep soak,"Native evergreen shrub; keep watered during establishment."
Ninebark,tree/shrub,Ninebark,full sun,1 week,Deep soak,"Hardy shrub; prune after flowering if shaping."
Butterfly bush,tree/shrub,Butterfly bush,full sun,1 week,Deep soak,"Deadhead; prune back in spring; check local invasiveness guidance."
Lilac,tree/shrub,Lilac,full sun,1 week,Deep soak,"Prune after flowering; needs good airflow."
Camellia,tree/shrub,Camellia,part shade,1 week,Deep soak,"Protect from winter wind; prefers acidic soil."
Pothos,potted plant,Pothos,indoor bright indirect,1 week,Moderate soak,"Let top soil dry; easy trailing plant; trim vines to shape."
Snake plant,potted plant,Snake plant,indoor bright indirect,2 weeks,Light,"Very drought tolerant; avoid overwatering."
Spider plant,potted plant,Spider plant,indoor bright indirect,1 week,Moderate soak,"Trim brown tips; produces baby plantlets."
Peace lily,potted plant,Peace lily,indoor bright indirect,1 week,Moderate soak,"Wilts when thirsty; avoid direct sun; toxic to pets."
Philodendron,potted plant,Philodendron,indoor bright indirect,1 week,Moderate soak,"Let top soil dry; trim leggy growth."
Monstera,potted plant,Monstera,indoor bright indirect,10 days,Moderate soak,"Give support pole; wipe leaves; avoid harsh sun."
ZZ plant,potted plant,ZZ plant,indoor bright indirect,3 weeks,Light,"Very drought tolerant; avoid overwatering."
Rubber plant,potted plant,Rubber plant,indoor bright indirect,10 days,Moderate soak,"Wipe leaves; avoid cold drafts."
Fiddle leaf fig,potted plant,Fiddle leaf fig,indoor bright indirect,1 week,Moderate soak,"Keep light consistent; rotate occasionally; avoid soggy soil."
Dracaena,potted plant,Dracaena,indoor bright indirect,2 weeks,Moderate soak,"Sensitive to overwatering; trim brown tips."
Aloe,succulent/cactus,Aloe vera,indoor bright indirect,3 weeks,Light,"Needs drainage; let soil dry fully."
Jade plant,succulent/cactus,Jade plant,indoor bright indirect,3 weeks,Light,"Let soil dry; bright light helps compact growth."
Christmas cactus,succulent/cactus,Holiday cactus,indoor bright indirect,2 weeks,Moderate soak,"Water when partly dry; cooler nights can encourage bloom."
Echeveria,succulent/cactus,Echeveria,indoor bright indirect,3 weeks,Light,"Needs bright light; avoid water sitting in rosette."
Haworthia,succulent/cactus,Haworthia,indoor bright indirect,3 weeks,Light,"Good small succulent; avoid overwatering."
Barrel cactus,succulent/cactus,Cactus,full sun,1 month,Light,"Needs very sharp drainage; protect from freezing if outdoors."
Tomato,vegetable,Tomato,full sun,2 days,Deep soak,"Water at soil level; mulch; stake or cage; watch for blight."
Cherry tomato,vegetable,Tomato,full sun,2 days,Deep soak,"Very productive; cage or trellis; pick often."
Pepper,vegetable,Pepper,full sun,3 days,Deep soak,"Avoid letting containers dry out; support heavy plants."
Cucumber,vegetable,Cucumber,full sun,2 days,Deep soak,"Trellis if possible; consistent water prevents bitterness."
Zucchini,vegetable,Squash,full sun,2 days,Deep soak,"Needs space; watch for squash bugs and powdery mildew."
Summer squash,vegetable,Squash,full sun,2 days,Deep soak,"Harvest often; water deeply."
Green bean,vegetable,Bean,full sun,3 days,Deep soak,"Pole types need trellis; pick regularly."
Pea,vegetable,Pea,full sun,3 days,Moderate soak,"Cool-season crop; trellis climbing types."
Lettuce,vegetable,Lettuce,part sun,2 days,Light,"Cool-season crop; shade helps in heat; keep evenly moist."
Spinach,vegetable,Spinach,part sun,2 days,Light,"Cool-season crop; bolts in heat."
Kale,vegetable,Kale,full sun,3 days,Moderate soak,"Cool-season crop; harvest outer leaves."
Carrot,vegetable,Carrot,full sun,3 days,Light,"Keep soil evenly moist during germination; avoid rocky soil."
Radish,vegetable,Radish,full sun,2 days,Light,"Fast crop; harvest young."
Onion,vegetable,Onion,full sun,3 days,Moderate soak,"Keep weed-free; avoid overwatering near harvest."
Garlic,vegetable,Garlic,full sun,1 week,Moderate soak,"Plant cloves in fall; stop watering near harvest."
Potato,vegetable,Potato,full sun,3 days,Deep soak,"Hill soil as plants grow; avoid wet foliage."
Basil,vegetable,Basil,full sun,2 days,Moderate soak,"Pinch flowers; harvest often; protect from cold."
Parsley,vegetable,Parsley,part sun,3 days,Moderate soak,"Harvest outer stems; good in containers."
Cilantro,vegetable,Cilantro,part sun,2 days,Light,"Cool-season herb; bolts quickly in heat."
Mint,vegetable,Mint,part shade,3 days,Moderate soak,"Plant in container; spreads aggressively."
Rosemary,vegetable,Rosemary,full sun,2 weeks,Light,"Needs drainage; avoid overwatering; protect in winter."
Thyme,vegetable,Thyme,full sun,2 weeks,Light,"Drought tolerant; trim after flowering."
Oregano,vegetable,Oregano,full sun,1 week,Moderate soak,"Trim to keep compact; spreads."
Sage,vegetable,Sage,full sun,2 weeks,Light,"Avoid wet soil; prune lightly."
Strawberry,berry/fruit,Strawberry,full sun,3 days,Moderate soak,"Mulch around berries; protect from birds."
Blueberry,berry/fruit,Blueberry,full sun,3 days,Deep soak,"Needs acidic soil; mulch; use more than one variety for better yield."
Raspberry,berry/fruit,Raspberry,full sun,3 days,Deep soak,"Trellis canes; prune by cane type."
Blackberry,berry/fruit,Blackberry,full sun,3 days,Deep soak,"Trellis; prune spent canes; can spread."
Grape,berry/fruit,Grape,full sun,1 week,Deep soak,"Needs strong support; prune annually."
Fig,berry/fruit,Fig,full sun,1 week,Deep soak,"Protect in winter when young; mulch roots."
Apple,berry/fruit,Apple,full sun,1 week,Deep soak,"Needs pruning; many varieties need cross-pollination."
Peach,berry/fruit,Peach,full sun,1 week,Deep soak,"Prune for airflow; watch for pests and disease."
Lemon tree,berry/fruit,Citrus,full sun,3 days,Deep soak,"Container-friendly; bring indoors before frost; needs bright light."
